date,max_srl_price_in_window,avg_srl_price_in_window,count_srl_peaks_in_window,sum_srl_prices_in_window,appliance_window_duration_h,appliance_window_energy_sum,appliance_window_energy_pct,appliance_window_start,appliance_window_end
2024-06-21,9.381624179584122,3.9223628363912937,24,94.13670807339105,9.25,4752.880417181,70.07188325234743,13:00,22:15
2024-07-10,4.9390363,4.9390363,1,4.9390363,9.5,4692.574242942999,70.24533207844898,12:45,22:15
2024-06-19,4.153925502145922,2.559087737563458,4,10.236350950253833,9.25,4752.880417181,70.07188325234743,13:00,22:15
2024-10-27,3.5137989402985075,2.3042553240021393,8,18.434042592017114,9.25,5189.09057089,70.00000235742888,13:00,22:15
2024-06-25,3.1938208383233535,1.5675445593346138,11,17.24299015268075,9.25,4752.880417181,70.07188325234743,13:00,22:15
2024-04-22,2.56745329109063,1.5776068791416862,15,23.664103187125292,9.0,5102.897961088,70.26192833322676,13:00,22:00
2024-06-17,2.1887669960486322,1.6012726199898544,4,6.4050904799594175,9.25,4752.880417181,70.07188325234743,13:00,22:15
2024-10-14,1.9017747931726907,1.4392519944067939,3,4.317755983220382,9.0,5036.645260814002,70.63885263396024,13:00,22:00
2024-10-18,1.4732398028409093,1.2322069387906383,3,3.6966208163719148,9.0,5036.645260814002,70.63885263396024,13:00,22:00
2024-12-30,1.3198142227920227,0.8625944333101473,4,3.450377733240589,10.25,4334.6702310165,70.96656802602202,13:45,00:00
2024-10-07,1.2518667087336242,0.8347882598450836,6,5.008729559070502,9.0,5036.645260814002,70.63885263396024,13:00,22:00
2024-01-10,1.1282893835616439,0.7037672399647842,7,4.926370679753489,10.25,4315.5021160615,70.96776412183246,13:45,00:00
2024-07-12,1.1202890285714286,0.7830528356779101,6,4.69831701406746,9.5,4692.574242942999,70.24533207844898,12:45,22:15
2024-07-31,1.1014351108571427,0.7363256150745421,11,8.099581765819963,9.5,4692.574242942999,70.24533207844898,12:45,22:15
2024-07-09,1.0971259234693878,1.0971259234693878,3,3.2913777704081633,9.5,4692.574242942999,70.24533207844898,12:45,22:15
2024-06-20,0.9169225238095238,0.6776387435808294,7,4.743471205065806,9.25,4752.880417181,70.07188325234743,13:00,22:15
2024-10-24,0.8031555954081632,0.6422344379387077,3,1.9267033138161231,9.0,5036.645260814002,70.63885263396024,13:00,22:00
2024-10-21,0.6921987283236994,0.6921987283236994,1,0.6921987283236994,9.0,5036.645260814002,70.63885263396024,13:00,22:00
2024-07-03,0.5633888039999999,0.5532514247649218,3,1.6597542742947655,9.5,4692.574242942999,70.24533207844898,12:45,22:15
2024-10-29,0.5451116275,0.5305687256318408,8,4.244549805054726,9.0,5036.645260814002,70.63885263396024,13:00,22:00
2024-12-04,0.46451898046875,0.46451898046875,1,0.46451898046875,10.25,4334.6702310165,70.96656802602202,13:45,00:00
2024-11-13,0.4606774409448819,0.4606774409448819,1,0.4606774409448819,9.0,5071.514161574,71.94534174211921,13:00,22:00
