respondent_id,q12_smartplug
118867014490,
118867103472,Ja
118867106782,
118867102635,Ja
118867095560,Ja
118867093389,Ja
118867085559,Ja
118867081746,Ja
118867081624,Nein
118867080434,Nein
118867074861,Nein
118867075571,Nein
118867072484,Nein
118867062931,Ja
118867061539,Ja
118867060721,Ja
118867051868,Ja
118867051937,Ja
118867049431,Ja
118867048965,Ja
118867015928,Ja
118867045143,Ja
118867046914,Ja
118867037998,Ja
118867044486,Ja
118866955443,Ja
118867044801,Ja
118867044223,Ja
118867043137,Ja
118867044118,Ja
118867043576,Nein
118867041751,Ja
118867040792,Ja
118867041382,Ja
118867040503,Ja
118867040007,Ja
118867040264,Ja
118867038333,Ja
118867036887,Ja
118867037007,Ja
118867037498,Ja
118867036948,Ja
118867037754,Ja
118867036605,Ja
118867035459,Ja
118867034269,Ja
118867032938,Ja
118867030915,Ja
118867031622,Ja
118867028646,Ja
118867029398,Ja
118867029770,Ja
118867026886,Ja
118867027259,Ja
118867026090,Ja
118867025702,Ja
118867022508,Nein
118867024898,Ja
118867024317,Ja
118867022838,Ja
118867018284,Ja
118867014898,Ja
118867016042,Ja
118867018967,Ja
118867019545,Ja
118867017445,Nein
118867016415,Ja
118867015217,Ja
118867013213,Ja
118867013132,Nein
118867012300,Ja
118867013091,Ja
118867011523,Ja
118867010888,Ja
118867008679,Nein
118867006949,Ja
118867006094,Ja
118867008529,
118867006775,Ja
118867003864,Ja
118867004785,Ja
118867002893,Ja
118867002033,Ja
118867002447,Nein
118867000777,Ja
118866999088,Ja
118866997913,Ja
118866998775,Ja
118866997312,Ja
118866993456,Ja
118866994852,Nein
118866994419,Ja
118866996124,Ja
118866995343,
118866994047,Ja
118866994425,Ja
118866992134,Nein
118866992596,Nein
118866990024,Ja
118866989350,Ja
118866989292,Nein
118866987521,Ja
118866987307,Ja
118866990134,
118866986337,Ja
118866989972,
118866984327,Ja
118866973987,Ja
118866983923,Ja
118866982200,Ja
118866983403,Ja
118866982535,Ja
118866979137,Nein
118866981859,Ja
118866981183,Ja
118866979933,Ja
118866979138,Nein
118866974650,Nein
118866975327,Ja
118866974083,Ja
118866974195,Ja
118866974381,Ja
118866975040,Ja
118866974076,Ja
118866973535,Ja
118866970685,Ja
118866971710,Ja
118866969397,Ja
118866968787,Nein
118866969369,Ja
118866968347,Ja
118866964905,Nein
118866959282,Ja
118866960887,Ja
118866963297,Ja
118866960088,Ja
118866962159,Ja
118866958232,Nein
118866959132,Nein
118866959416,Ja
118866953261,Ja
118866955618,Ja
118866957825,Ja
118866958454,Ja
118866956552,Ja
118866956915,Nein
118866955817,Ja
118866954185,Ja
118866951530,Ja
118866950613,Ja
118866948040,Ja
118866943584,Ja
118866946022,Ja
118866945395,Nein
118866942004,Nein
118866945099,Ja
118866946286,Ja
118866943931,Ja
118866943455,Ja
118866944075,Ja
118866943226,Ja
118866943215,Nein
118866943315,Ja
118866942164,Nein
118866944373,
118866941933,Ja
118866940774,Ja
118866940556,Ja
118866936324,Ja
118866939705,Ja
118866938193,Ja
118866937507,Ja
118866935766,Ja
118866937898,Ja
118866936563,Ja
118866937146,Ja
118866934905,Ja
118866936667,Ja
118866935206,Ja
118866936450,Ja
118866935483,Ja
118866936312,Ja
118866935967,Nein
118866934557,Ja
118866935058,Nein
118866928634,Ja
118866933543,Ja
118866929307,Ja
118866933392,Ja
118866931995,Ja
118866934042,Ja
118866935000,
118866933882,Ja
118866930245,Ja
118866930393,Nein
118866932976,Ja
118866931782,Ja
118866930866,Ja
118866931402,Ja
118866930240,Ja
118866930534,Ja
118866928259,Nein
118866931009,Nein
118866928820,Nein
118866930110,Nein
118866926962,Nein
118866926796,Ja
118866928003,Ja
118866928061,Ja
118866807581,Ja
118866331968,Nein
118866098373,Ja
118866070482,Ja
118866049453,Ja
118865993888,Nein
118865937239,Ja
118865545609,Nein
118865337253,Ja
118864902528,Ja
118864896513,Ja
118864429794,Ja
118864377677,Ja
118864359644,Ja
118864248189,Ja
118864149111,Ja
118864023864,Ja
118864004036,Ja
118863985701,Nein
118863934625,Ja
118863922119,Ja
118863893346,Ja
118863891002,Ja
118863872491,Ja
118863862058,Ja
118863784974,Ja
118863593040,Ja
118863567511,Ja
118863548745,Ja
118863432342,Ja
118863395010,Ja
118863368596,Ja
118863364986,Ja
118863351926,Ja
118863342592,Ja
118863331096,Nein
118863327593,Ja
118863326262,Ja
118863321869,Ja
118863315318,Ja
118752452689,Ja
118745041241,Nein
118745035969,Ja
118745035159,Ja
118728905344,Ja
118728041541,Ja
118725909916,Nein
118725489712,Ja
118725204330,Nein
118725167746,Ja
118725152865,Ja
118725110569,Ja
118723447559,Ja
118723237756,Ja
118722584838,Ja
118722351539,Ja
118721763559,Nein
118721723631,Ja
118721622091,Ja
118721620651,Ja
118721595224,Nein
118721556715,Nein
118721543449,Nein
118721499184,Ja
118721456430,Ja
118721400034,Ja
118721395041,Ja
118721391105,Ja
118721337485,Ja
118721331365,Ja
118721328556,Ja
118721197328,Ja
118721153752,Ja
118721125261,Ja
118721006467,Nein
118720956129,Ja
118720912499,Ja
118720905950,Ja
118720902903,Ja
118720900408,Ja
118720897761,Ja
118720897461,Ja
118720895378,Ja
118720891261,Ja
118720890752,Ja
118720890310,Ja
118720887674,Nein
118720887094,Ja
118720882393,Ja
118720881324,Ja
118720881244,Ja
118720880281,Ja
118720878032,Nein
118720876610,Nein
118720875003,Nein
118720874823,Ja
118720874594,Ja
118720874067,Ja
118720873582,Ja
118720873581,Ja
118720873448,Ja
118720872081,Ja
118720872071,Ja
118720869708,Ja
118720869178,Ja
118720868828,Nein
118720617197,Ja
118720359488,Ja
118720304414,Ja
118720210295,Ja
118720095220,Ja
118719940488,Ja
118719844221,Ja
118719800343,Ja
118719787450,Ja
118719777684,Ja
118719751123,Ja
118719745254,Ja
118719744912,Ja
118719740529,Ja
118719740378,Ja
118719731879,Ja
118719723990,Nein
118719722284,Nein
118719718843,Nein
118719706439,Ja
118719702607,Ja
118719701032,Nein
118719698162,Nein
118719690366,Ja
118719658084,Ja
118719657490,Ja
118719648913,Nein
118719640453,Ja
118719638341,Ja
118719632641,Ja
118719622185,Ja
118719618428,Ja
118719614056,Ja
118719609522,Nein
118719608146,Ja
118719600879,Ja
118719590338,Ja
118719585877,Ja
118719585430,Ja
118719583858,Nein
118719565260,Ja
118719560234,Ja
118719559146,Nein
118719554786,Ja
118719550176,Ja
118719549032,Nein
118719545936,Ja
118719545213,Nein
118719540468,Ja
118719539315,Ja
118719538617,Nein
118719538578,Ja
118719534721,Ja
118719536194,Ja
118718418410,Ja
118718417818,Ja
118717793319,Ja
