respondent_id,q14_education
118867014490,Keine Angabe
118867103472,Berufsausbildung/Lehre/Maturität
118867106782,Keine Angabe
118867102635,Berufsausbildung/Lehre/Maturität
118867095560,Berufsausbildung/Lehre/Maturität
118867093389,Berufsausbildung/Lehre/Maturität
118867085559,Berufsausbildung/Lehre/Maturität
118867081746,Grundschule
118867081624,Bachelor
118867080434,Berufsausbildung/Lehre/Maturität
118867074861,Berufsausbildung/Lehre/Maturität
118867075571,Berufsausbildung/Lehre/Maturität
118867072484,Master
118867062931,Berufsausbildung/Lehre/Maturität
118867061539,Bachelor
118867060721,Berufsausbildung/Lehre/Maturität
118867051868,Berufsausbildung/Lehre/Maturität
118867051937,Berufsausbildung/Lehre/Maturität
118867049431,Sekundarschule/Realschule
118867048965,Berufsausbildung/Lehre/Maturität
118867015928,Bachelor
118867045143,Berufsausbildung/Lehre/Maturität
118867046914,Bachelor
118867037998,Sekundarschule/Realschule
118867044486,Berufsausbildung/Lehre/Maturität
118866955443,Bachelor
118867044801,Promotion oder höher
118867044223,Berufsausbildung/Lehre/Maturität
118867043137,Sekundarschule/Realschule
118867044118,Berufsausbildung/Lehre/Maturität
118867043576,Master
118867041751,Master
118867040792,Master
118867041382,Sekundarschule/Realschule
118867040503,Master
118867040007,Berufsausbildung/Lehre/Maturität
118867040264,Sekundarschule/Realschule
118867038333,Berufsausbildung/Lehre/Maturität
118867036887,Berufsausbildung/Lehre/Maturität
118867037007,Berufsausbildung/Lehre/Maturität
118867037498,Bachelor
118867036948,Berufsausbildung/Lehre/Maturität
118867037754,Bachelor
118867036605,Berufsausbildung/Lehre/Maturität
118867035459,Berufsausbildung/Lehre/Maturität
118867034269,Bachelor
118867032938,Berufsausbildung/Lehre/Maturität
118867030915,Master
118867031622,Berufsausbildung/Lehre/Maturität
118867028646,Berufsausbildung/Lehre/Maturität
118867029398,Master
118867029770,Sekundarschule/Realschule
118867026886,Sekundarschule/Realschule
118867027259,Master
118867026090,Bachelor
118867025702,Berufsausbildung/Lehre/Maturität
118867022508,Promotion oder höher
118867024898,Berufsausbildung/Lehre/Maturität
118867024317,Master
118867022838,Berufsausbildung/Lehre/Maturität
118867018284,Berufsausbildung/Lehre/Maturität
118867014898,Berufsausbildung/Lehre/Maturität
118867016042,Berufsausbildung/Lehre/Maturität
118867018967,Bachelor
118867019545,Grundschule
118867017445,Sekundarschule/Realschule
118867016415,Bachelor
118867015217,Master
118867013213,Bachelor
118867013132,Grundschule
118867012300,Berufsausbildung/Lehre/Maturität
118867013091,Master
118867011523,Bachelor
118867010888,Bachelor
118867008679,Berufsausbildung/Lehre/Maturität
118867006949,Bachelor
118867006094,Berufsausbildung/Lehre/Maturität
118867008529,Keine Angabe
118867006775,Berufsausbildung/Lehre/Maturität
118867003864,Berufsausbildung/Lehre/Maturität
118867004785,Keine Schulbildung
118867002893,Master
118867002033,Berufsausbildung/Lehre/Maturität
118867002447,Sekundarschule/Realschule
118867000777,Berufsausbildung/Lehre/Maturität
118866999088,Bachelor
118866997913,Berufsausbildung/Lehre/Maturität
118866998775,Berufsausbildung/Lehre/Maturität
118866997312,Master
118866993456,Berufsausbildung/Lehre/Maturität
118866994852,Sekundarschule/Realschule
118866994419,Master
118866996124,Berufsausbildung/Lehre/Maturität
118866995343,Keine Angabe
118866994047,Grundschule
118866994425,Berufsausbildung/Lehre/Maturität
118866992134,Keine Angabe
118866992596,Sekundarschule/Realschule
118866990024,Bachelor
118866989350,Keine Angabe
118866989292,Master
118866987521,Sekundarschule/Realschule
118866987307,Bachelor
118866990134,Keine Angabe
118866986337,Berufsausbildung/Lehre/Maturität
118866989972,Keine Angabe
118866984327,Master
118866973987,Berufsausbildung/Lehre/Maturität
118866983923,Berufsausbildung/Lehre/Maturität
118866982200,Berufsausbildung/Lehre/Maturität
118866983403,Master
118866982535,Sekundarschule/Realschule
118866979137,Bachelor
118866981859,Berufsausbildung/Lehre/Maturität
118866981183,Berufsausbildung/Lehre/Maturität
118866979933,Berufsausbildung/Lehre/Maturität
118866979138,Sekundarschule/Realschule
118866974650,Berufsausbildung/Lehre/Maturität
118866975327,Berufsausbildung/Lehre/Maturität
118866974083,Berufsausbildung/Lehre/Maturität
118866974195,Master
118866974381,Berufsausbildung/Lehre/Maturität
118866975040,Berufsausbildung/Lehre/Maturität
118866974076,Bachelor
118866973535,Master
118866970685,Berufsausbildung/Lehre/Maturität
118866971710,Berufsausbildung/Lehre/Maturität
118866969397,Bachelor
118866968787,Berufsausbildung/Lehre/Maturität
118866969369,Berufsausbildung/Lehre/Maturität
118866968347,Grundschule
118866964905,Berufsausbildung/Lehre/Maturität
118866959282,Master
118866960887,Berufsausbildung/Lehre/Maturität
118866963297,Sekundarschule/Realschule
118866960088,Berufsausbildung/Lehre/Maturität
118866962159,Berufsausbildung/Lehre/Maturität
118866958232,Sekundarschule/Realschule
118866959132,Berufsausbildung/Lehre/Maturität
118866959416,Master
118866953261,Berufsausbildung/Lehre/Maturität
118866955618,Berufsausbildung/Lehre/Maturität
118866957825,Master
118866958454,Berufsausbildung/Lehre/Maturität
118866956552,Berufsausbildung/Lehre/Maturität
118866956915,Berufsausbildung/Lehre/Maturität
118866955817,Bachelor
118866954185,Sekundarschule/Realschule
118866951530,Berufsausbildung/Lehre/Maturität
118866950613,Master
118866948040,Berufsausbildung/Lehre/Maturität
118866943584,Master
118866946022,Sekundarschule/Realschule
118866945395,Sekundarschule/Realschule
118866942004,Berufsausbildung/Lehre/Maturität
118866945099,Keine Angabe
118866946286,Grundschule
118866943931,Bachelor
118866943455,Bachelor
118866944075,Bachelor
118866943226,Bachelor
118866943215,Keine Angabe
118866943315,Bachelor
118866942164,Berufsausbildung/Lehre/Maturität
118866944373,Keine Angabe
118866941933,Berufsausbildung/Lehre/Maturität
118866940774,Berufsausbildung/Lehre/Maturität
118866940556,Berufsausbildung/Lehre/Maturität
118866936324,Berufsausbildung/Lehre/Maturität
118866939705,Master
118866938193,Sekundarschule/Realschule
118866937507,Bachelor
118866935766,Berufsausbildung/Lehre/Maturität
118866937898,Master
118866936563,Berufsausbildung/Lehre/Maturität
118866937146,Master
118866934905,Berufsausbildung/Lehre/Maturität
118866936667,Promotion oder höher
118866935206,Bachelor
118866936450,Bachelor
118866935483,Berufsausbildung/Lehre/Maturität
118866936312,Berufsausbildung/Lehre/Maturität
118866935967,Berufsausbildung/Lehre/Maturität
118866934557,Master
118866935058,Master
118866928634,Berufsausbildung/Lehre/Maturität
118866933543,Bachelor
118866929307,Master
118866933392,Bachelor
118866931995,Berufsausbildung/Lehre/Maturität
118866934042,Berufsausbildung/Lehre/Maturität
118866935000,Keine Angabe
118866933882,Berufsausbildung/Lehre/Maturität
118866930245,Berufsausbildung/Lehre/Maturität
118866930393,Bachelor
118866932976,Bachelor
118866931782,Berufsausbildung/Lehre/Maturität
118866930866,Master
118866931402,Grundschule
118866930240,Berufsausbildung/Lehre/Maturität
118866930534,Berufsausbildung/Lehre/Maturität
118866928259,Master
118866931009,Berufsausbildung/Lehre/Maturität
118866928820,Berufsausbildung/Lehre/Maturität
118866930110,Sekundarschule/Realschule
118866926962,Berufsausbildung/Lehre/Maturität
118866926796,Berufsausbildung/Lehre/Maturität
118866928003,Berufsausbildung/Lehre/Maturität
118866928061,Berufsausbildung/Lehre/Maturität
118866807581,Master
118866331968,Berufsausbildung/Lehre/Maturität
118866098373,Berufsausbildung/Lehre/Maturität
118866070482,Bachelor
118866049453,Bachelor
118865993888,Berufsausbildung/Lehre/Maturität
118865937239,Master
118865545609,Master
118865337253,Master
118864902528,Berufsausbildung/Lehre/Maturität
118864896513,Master
118864429794,Master
118864377677,Berufsausbildung/Lehre/Maturität
118864359644,Master
118864248189,Bachelor
118864149111,Berufsausbildung/Lehre/Maturität
118864023864,Bachelor
118864004036,Sekundarschule/Realschule
118863985701,Bachelor
118863934625,Berufsausbildung/Lehre/Maturität
118863922119,Berufsausbildung/Lehre/Maturität
118863893346,Promotion oder höher
118863891002,Master
118863872491,Master
118863862058,Bachelor
118863784974,Berufsausbildung/Lehre/Maturität
118863593040,Master
118863567511,Master
118863548745,Master
118863432342,Berufsausbildung/Lehre/Maturität
118863395010,Master
118863368596,Berufsausbildung/Lehre/Maturität
118863364986,Berufsausbildung/Lehre/Maturität
118863351926,Master
118863342592,Bachelor
118863331096,Sekundarschule/Realschule
118863327593,Bachelor
118863326262,Master
118863321869,Berufsausbildung/Lehre/Maturität
118863315318,Master
118752452689,Master
118745041241,Bachelor
118745035969,Sekundarschule/Realschule
118745035159,Bachelor
118728905344,Master
118728041541,Bachelor
118725909916,Sekundarschule/Realschule
118725489712,Bachelor
118725204330,Berufsausbildung/Lehre/Maturität
118725167746,Bachelor
118725152865,Promotion oder höher
118725110569,Master
118723447559,Berufsausbildung/Lehre/Maturität
118723237756,Sekundarschule/Realschule
118722584838,Berufsausbildung/Lehre/Maturität
118722351539,Bachelor
118721763559,Berufsausbildung/Lehre/Maturität
118721723631,Berufsausbildung/Lehre/Maturität
118721622091,Berufsausbildung/Lehre/Maturität
118721620651,Bachelor
118721595224,Keine Schulbildung
118721556715,Berufsausbildung/Lehre/Maturität
118721543449,Bachelor
118721499184,Berufsausbildung/Lehre/Maturität
118721456430,Master
118721400034,Keine Schulbildung
118721395041,Berufsausbildung/Lehre/Maturität
118721391105,Berufsausbildung/Lehre/Maturität
118721337485,Bachelor
118721331365,Bachelor
118721328556,Berufsausbildung/Lehre/Maturität
118721197328,Berufsausbildung/Lehre/Maturität
118721153752,Berufsausbildung/Lehre/Maturität
118721125261,Bachelor
118721006467,Master
118720956129,Berufsausbildung/Lehre/Maturität
118720912499,Berufsausbildung/Lehre/Maturität
118720905950,Berufsausbildung/Lehre/Maturität
118720902903,Master
118720900408,Berufsausbildung/Lehre/Maturität
118720897761,Berufsausbildung/Lehre/Maturität
118720897461,Berufsausbildung/Lehre/Maturität
118720895378,Master
118720891261,Bachelor
118720890752,Berufsausbildung/Lehre/Maturität
118720890310,Berufsausbildung/Lehre/Maturität
118720887674,Bachelor
118720887094,Berufsausbildung/Lehre/Maturität
118720882393,Berufsausbildung/Lehre/Maturität
118720881324,Berufsausbildung/Lehre/Maturität
118720881244,Master
118720880281,Berufsausbildung/Lehre/Maturität
118720878032,Berufsausbildung/Lehre/Maturität
118720876610,Bachelor
118720875003,Master
118720874823,Master
118720874594,Bachelor
118720874067,Bachelor
118720873582,Berufsausbildung/Lehre/Maturität
118720873581,Berufsausbildung/Lehre/Maturität
118720873448,Berufsausbildung/Lehre/Maturität
118720872081,Sekundarschule/Realschule
118720872071,Master
118720869708,Master
118720869178,Berufsausbildung/Lehre/Maturität
118720868828,Bachelor
118720617197,Bachelor
118720359488,Berufsausbildung/Lehre/Maturität
118720304414,Bachelor
118720210295,Bachelor
118720095220,Master
118719940488,Berufsausbildung/Lehre/Maturität
118719844221,Bachelor
118719800343,Berufsausbildung/Lehre/Maturität
118719787450,Berufsausbildung/Lehre/Maturität
118719777684,Master
118719751123,Keine Angabe
118719745254,Bachelor
118719744912,Master
118719740529,Berufsausbildung/Lehre/Maturität
118719740378,Master
118719731879,Master
118719723990,Keine Schulbildung
118719722284,Master
118719718843,Master
118719706439,Berufsausbildung/Lehre/Maturität
118719702607,Berufsausbildung/Lehre/Maturität
118719701032,Bachelor
118719698162,Berufsausbildung/Lehre/Maturität
118719690366,Berufsausbildung/Lehre/Maturität
118719658084,Berufsausbildung/Lehre/Maturität
118719657490,Berufsausbildung/Lehre/Maturität
118719648913,Sekundarschule/Realschule
118719640453,Berufsausbildung/Lehre/Maturität
118719638341,Master
118719632641,Bachelor
118719622185,Master
118719618428,Berufsausbildung/Lehre/Maturität
118719614056,Sekundarschule/Realschule
118719609522,Keine Angabe
118719608146,Berufsausbildung/Lehre/Maturität
118719600879,Sekundarschule/Realschule
118719590338,Master
118719585877,Berufsausbildung/Lehre/Maturität
118719585430,Berufsausbildung/Lehre/Maturität
118719583858,Berufsausbildung/Lehre/Maturität
118719565260,Bachelor
118719560234,Berufsausbildung/Lehre/Maturität
118719559146,Bachelor
118719554786,Berufsausbildung/Lehre/Maturität
118719550176,Berufsausbildung/Lehre/Maturität
118719549032,Berufsausbildung/Lehre/Maturität
118719545936,Berufsausbildung/Lehre/Maturität
118719545213,Berufsausbildung/Lehre/Maturität
118719540468,Berufsausbildung/Lehre/Maturität
118719539315,Bachelor
118719538617,Berufsausbildung/Lehre/Maturität
118719538578,Master
118719534721,Berufsausbildung/Lehre/Maturität
118719536194,Master
118718418410,Master
118718417818,Master
118717793319,Bachelor
