respondent_id,age
118867014490,35
118867103472,49
118867106782,29
118867102635,20
118867095560,45
118867093389,59
118867085559,58
118867081746,38
118867081624,50
118867080434,39
118867074861,54
118867075571,20
118867072484,42
118867062931,24
118867061539,42
118867060721,29
118867051868,33
118867051937,47
118867049431,19
118867048965,57
118867015928,49
118867045143,35
118867046914,30
118867037998,49
118867044486,58
118866955443,35
118867044801,40
118867044223,64
118867043137,38
118867044118,38
118867043576,41
118867041751,34
118867040792,37
118867041382,51
118867040503,54
118867040007,26
118867040264,40
118867038333,18
118867036887,29
118867037007,32
118867037498,49
118867036948,36
118867037754,37
118867036605,40
118867035459,25
118867034269,54
118867032938,56
118867030915,20
118867031622,58
118867028646,46
118867029398,49
118867029770,37
118867026886,18
118867027259,35
118867026090,32
118867025702,52
118867022508,41
118867024898,43
118867024317,37
118867022838,23
118867018284,44
118867014898,51
118867016042,57
118867018967,26
118867019545,21
118867017445,17
118867016415,25
118867015217,30
118867013213,25
118867013132,20
118867012300,39
118867013091,30
118867011523,34
118867010888,21
118867008679,33
118867006949,74
118867006094,63
118867008529,43
118867006775,20
118867003864,24
118867004785,20
118867002893,71
118867002033,53
118867002447,23
118867000777,55
118866999088,55
118866997913,46
118866998775,35
118866997312,24
118866993456,52
118866994852,39
118866994419,39
118866996124,47
118866995343,34
118866994047,36
118866994425,48
118866992134,52
118866992596,23
118866990024,51
118866989350,28
118866989292,41
118866987521,66
118866987307,77
118866990134,36
118866986337,60
118866989972,32
118866984327,36
118866973987,54
118866983923,60
118866982200,58
118866983403,59
118866982535,67
118866979137,53
118866981859,40
118866981183,27
118866979933,38
118866979138,50
118866974650,54
118866975327,18
118866974083,72
118866974195,39
118866974381,40
118866975040,24
118866974076,54
118866973535,47
118866970685,66
118866971710,34
118866969397,55
118866968787,40
118866969369,46
118866968347,21
118866964905,35
118866959282,49
118866960887,45
118866963297,26
118866960088,77
118866962159,36
118866958232,18
118866959132,27
118866959416,49
118866953261,57
118866955618,45
118866957825,39
118866958454,28
118866956552,26
118866956915,21
118866955817,19
118866954185,19
118866951530,34
118866950613,47
118866948040,45
118866943584,73
118866946022,35
118866945395,37
118866942004,41
118866945099,37
118866946286,47
118866943931,51
118866943455,56
118866944075,37
118866943226,28
118866943215,19
118866943315,23
118866942164,42
118866944373,35
118866941933,19
118866940774,42
118866940556,32
118866936324,40
118866939705,30
118866938193,69
118866937507,61
118866935766,55
118866937898,50
118866936563,39
118866937146,39
118866934905,26
118866936667,47
118866935206,30
118866936450,30
118866935483,43
118866936312,41
118866935967,23
118866934557,46
118866935058,26
118866928634,51
118866933543,38
118866929307,33
118866933392,25
118866931995,26
118866934042,47
118866935000,30
118866933882,24
118866930245,44
118866930393,54
118866932976,33
118866931782,25
118866930866,30
118866931402,51
118866930240,47
118866930534,18
118866928259,36
118866931009,52
118866928820,51
118866930110,31
118866926962,45
118866926796,22
118866928003,26
118866928061,47
118866807581,45
118866331968,57
118866098373,28
118866070482,35
118866049453,40
118865993888,41
118865937239,32
118865545609,42
118865337253,32
118864902528,22
118864896513,43
118864429794,33
118864377677,39
118864359644,40
118864248189,56
118864149111,60
118864023864,34
118864004036,69
118863985701,44
118863934625,38
118863922119,22
118863893346,40
118863891002,29
118863872491,59
118863862058,52
118863784974,24
118863593040,54
118863567511,29
118863548745,46
118863432342,23
118863395010,48
118863368596,20
118863364986,19
118863351926,32
118863342592,23
118863331096,24
118863327593,63
118863326262,75
118863321869,23
118863315318,27
118752452689,66
118745041241,26
118745035969,64
118745035159,53
118728905344,31
118728041541,29
118725909916,58
118725489712,32
118725204330,30
118725167746,30
118725152865,47
118725110569,33
118723447559,63
118723237756,40
118722584838,63
118722351539,69
118721763559,62
118721723631,27
118721622091,66
118721620651,70
118721595224,57
118721556715,60
118721543449,30
118721499184,28
118721456430,49
118721400034,66
118721395041,61
118721391105,63
118721337485,30
118721331365,30
118721328556,26
118721197328,29
118721153752,20
118721125261,57
118721006467,26
118720956129,28
118720912499,55
118720905950,57
118720902903,24
118720900408,64
118720897761,21
118720897461,50
118720895378,31
118720891261,57
118720890752,42
118720890310,19
118720887674,27
118720887094,60
118720882393,39
118720881324,38
118720881244,53
118720880281,19
118720878032,18
118720876610,28
118720875003,35
118720874823,31
118720874594,27
118720874067,22
118720873582,21
118720873581,19
118720873448,23
118720872081,17
118720872071,57
118720869708,30
118720869178,39
118720868828,40
118720617197,44
118720359488,61
118720304414,42
118720210295,43
118720095220,70
118719940488,39
118719844221,39
118719800343,31
118719787450,18
118719777684,29
118719751123,68
118719745254,49
118719744912,31
118719740529,20
118719740378,27
118719731879,31
118719723990,96
118719722284,32
118719718843,66
118719706439,49
118719702607,72
118719701032,41
118719698162,25
118719690366,39
118719658084,46
118719657490,62
118719648913,19
118719640453,21
118719638341,60
118719632641,66
118719622185,40
118719618428,18
118719614056,17
118719609522,17
118719608146,29
118719600879,40
118719590338,65
118719585877,21
118719585430,21
118719583858,20
118719565260,36
118719560234,20
118719559146,61
118719554786,21
118719550176,22
118719549032,21
118719545936,21
118719545213,19
118719540468,17
118719539315,29
118719538617,26
118719538578,56
118719534721,72
118719536194,25
118718418410,33
118718417818,28
118717793319,35
